Samp,samp_number,Time,Treatment,Date
Fum-1-1,1,Day_0,Non-amended,"August 8th, 2016"
Fum-1-10,10,Day_0,Mirimichi+Swine,"August 8th, 2016"
Fum-1-100,100,Day_43,Mirimichi+Biosolids,"September 20th, 2016"
Fum-1-101,101,Day_43,Mirimichi+Biosolids,"September 20th, 2016"
Fum-1-102,102,Day_43,Mirimichi+Biosolids,"September 20th, 2016"
Fum-1-103,103,Day_43,Mirimichi+Biosolids,"September 20th, 2016"
Fum-1-104,104,Day_43,Mirimichi+Biosolids,"September 20th, 2016"
Fum-1-105,105,Day_43,NSCC House Brew,"September 20th, 2016"
Fum-1-106,106,Day_43,NSCC House Brew,"September 20th, 2016"
Fum-1-107,107,Day_43,NSCC House Brew,"September 20th, 2016"
Fum-1-108,108,Day_43,NSCC House Brew,"September 20th, 2016"
Fum-1-109,109,Day_43,NSCC House Brew,"September 20th, 2016"
Fum-1-11,11,Day_0,Mirimichi+Swine,"August 8th, 2016"
Fum-1-110,110,Day_43,NSCC House Brew,"September 20th, 2016"
Fum-1-111,111,Day_43,NSCC House Brew,"September 20th, 2016"
Fum-1-112,112,Day_43,NSCC House Brew,"September 20th, 2016"
Fum-1-113,113,Day_43,Non-fumigated chipping grass,"September 20th, 2016"
Fum-1-114,114,Day_43,Non-fumigated chipping grass,"September 20th, 2016"
Fum-1-115,115,Day_43,Non-fumigated chipping grass,"September 20th, 2016"
Fum-1-116,116,Day_43,Non-fumigated chipping grass,"September 20th, 2016"
Fum-1-117,117,Day_43,Non-fumigated chipping grass,"September 20th, 2016"
Fum-1-118,118,Day_43,Non-fumigated chipping grass,"September 20th, 2016"
Fum-1-119,119,Day_43,Non-fumigated chipping grass,"September 20th, 2016"
Fum-1-12,12,Day_0,Mirimichi+Swine,"August 8th, 2016"
Fum-1-120,120,Day_43,Non-fumigated chipping grass,"September 20th, 2016"
Fum-1-121,121,Day_71,Non-amended,"October 18th, 2016"
Fum-1-122,122,Day_71,Non-amended,"October 18th, 2016"
Fum-1-123,123,Day_71,Non-amended,"October 18th, 2016"
Fum-1-124,124,Day_71,Non-amended,"October 18th, 2016"
Fum-1-125,125,Day_71,Non-amended,"October 18th, 2016"
Fum-1-126,126,Day_71,Non-amended,"October 18th, 2016"
Fum-1-127,127,Day_71,Non-amended,"October 18th, 2016"
Fum-1-128,128,Day_71,Non-amended,"October 18th, 2016"
Fum-1-129,129,Day_71,Mirimichi+Swine,"October 18th, 2016"
Fum-1-13,13,Day_0,Mirimichi+Swine,"August 8th, 2016"
Fum-1-130,130,Day_71,Mirimichi+Swine,"October 18th, 2016"
Fum-1-131,131,Day_71,Mirimichi+Swine,"October 18th, 2016"
Fum-1-132,132,Day_71,Mirimichi+Swine,"October 18th, 2016"
Fum-1-133,133,Day_71,Mirimichi+Swine,"October 18th, 2016"
Fum-1-134,134,Day_71,Mirimichi+Swine,"October 18th, 2016"
Fum-1-135,135,Day_71,Mirimichi+Swine,"October 18th, 2016"
Fum-1-136,136,Day_71,Mirimichi+Swine,"October 18th, 2016"
Fum-1-137,137,Day_71,Mirimichi+Biosolids,"October 18th, 2016"
Fum-1-138,138,Day_71,Mirimichi+Biosolids,"October 18th, 2016"
Fum-1-139,139,Day_71,Mirimichi+Biosolids,"October 18th, 2016"
Fum-1-14,14,Day_0,Mirimichi+Swine,"August 8th, 2016"
Fum-1-140,140,Day_71,Mirimichi+Biosolids,"October 18th, 2016"
Fum-1-141,141,Day_71,Mirimichi+Biosolids,"October 18th, 2016"
Fum-1-142,142,Day_71,Mirimichi+Biosolids,"October 18th, 2016"
Fum-1-143,143,Day_71,Mirimichi+Biosolids,"October 18th, 2016"
Fum-1-144,144,Day_71,Mirimichi+Biosolids,"October 18th, 2016"
Fum-1-145,145,Day_71,NSCC House Brew,"October 18th, 2016"
Fum-1-146,146,Day_71,NSCC House Brew,"October 18th, 2016"
Fum-1-147,147,Day_71,NSCC House Brew,"October 18th, 2016"
Fum-1-148,148,Day_71,NSCC House Brew,"October 18th, 2016"
Fum-1-149,149,Day_71,NSCC House Brew,"October 18th, 2016"
Fum-1-15,15,Day_0,Mirimichi+Swine,"August 8th, 2016"
Fum-1-150,150,Day_71,NSCC House Brew,"October 18th, 2016"
Fum-1-151,151,Day_71,NSCC House Brew,"October 18th, 2016"
Fum-1-152,152,Day_71,NSCC House Brew,"October 18th, 2016"
Fum-1-153,153,Day_71,Non-fumigated chipping grass,"October 18th, 2016"
Fum-1-154,154,Day_71,Non-fumigated chipping grass,"October 18th, 2016"
Fum-1-155,155,Day_71,Non-fumigated chipping grass,"October 18th, 2016"
Fum-1-156,156,Day_71,Non-fumigated chipping grass,"October 18th, 2016"
Fum-1-157,157,Day_71,Non-fumigated chipping grass,"October 18th, 2016"
Fum-1-158,158,Day_71,Non-fumigated chipping grass,"October 18th, 2016"
Fum-1-159,159,Day_71,Non-fumigated chipping grass,"October 18th, 2016"
Fum-1-16,16,Day_0,Mirimichi+Swine,"August 8th, 2016"
Fum-1-160,160,Day_71,Non-fumigated chipping grass,"October 18th, 2016"
Fum-1-161,161,Day_255,Non-amended,"April 20th, 2017"
Fum-1-162,162,Day_255,Non-amended,"April 20th, 2017"
Fum-1-163,163,Day_255,Non-amended,"April 20th, 2017"
Fum-1-164,164,Day_255,Non-amended,"April 20th, 2017"
Fum-1-165,165,Day_255,Non-amended,"April 20th, 2017"
Fum-1-166,166,Day_255,Non-amended,"April 20th, 2017"
Fum-1-167,167,Day_255,Non-amended,"April 20th, 2017"
Fum-1-168,168,Day_255,Non-amended,"April 20th, 2017"
Fum-1-169,169,Day_255,Mirimichi+Swine,"April 20th, 2017"
Fum-1-17,17,Day_0,Mirimichi+Biosolids,"August 8th, 2016"
Fum-1-170,170,Day_255,Mirimichi+Swine,"April 20th, 2017"
Fum-1-171,171,Day_255,Mirimichi+Swine,"April 20th, 2017"
Fum-1-172,172,Day_255,Mirimichi+Swine,"April 20th, 2017"
Fum-1-173,173,Day_255,Mirimichi+Swine,"April 20th, 2017"
Fum-1-174,174,Day_255,Mirimichi+Swine,"April 20th, 2017"
Fum-1-175,175,Day_255,Mirimichi+Swine,"April 20th, 2017"
Fum-1-176,176,Day_255,Mirimichi+Swine,"April 20th, 2017"
Fum-1-177,177,Day_255,Mirimichi+Biosolids,"April 20th, 2017"
Fum-1-178,178,Day_255,Mirimichi+Biosolids,"April 20th, 2017"
Fum-1-179,179,Day_255,Mirimichi+Biosolids,"April 20th, 2017"
Fum-1-18,18,Day_0,Mirimichi+Biosolids,"August 8th, 2016"
Fum-1-180,180,Day_255,Mirimichi+Biosolids,"April 20th, 2017"
Fum-1-181,181,Day_255,Mirimichi+Biosolids,"April 20th, 2017"
Fum-1-182,182,Day_255,Mirimichi+Biosolids,"April 20th, 2017"
Fum-1-183,183,Day_255,Mirimichi+Biosolids,"April 20th, 2017"
Fum-1-184,184,Day_255,Mirimichi+Biosolids,"April 20th, 2017"
Fum-1-185,185,Day_255,NSCC House Brew,"April 20th, 2017"
Fum-1-186,186,Day_255,NSCC House Brew,"April 20th, 2017"
Fum-1-187,187,Day_255,NSCC House Brew,"April 20th, 2017"
Fum-1-188,188,Day_255,NSCC House Brew,"April 20th, 2017"
Fum-1-189,189,Day_255,NSCC House Brew,"April 20th, 2017"
Fum-1-19,19,Day_0,Mirimichi+Biosolids,"August 8th, 2016"
Fum-1-190,190,Day_255,NSCC House Brew,"April 20th, 2017"
Fum-1-191,191,Day_255,NSCC House Brew,"April 20th, 2017"
Fum-1-192,192,Day_255,NSCC House Brew,"April 20th, 2017"
Fum-1-193,193,Day_255,Non-fumigated chipping grass,"April 20th, 2017"
Fum-1-194,194,Day_255,Non-fumigated chipping grass,"April 20th, 2017"
Fum-1-195,195,Day_255,Non-fumigated chipping grass,"April 20th, 2017"
Fum-1-196,196,Day_255,Non-fumigated chipping grass,"April 20th, 2017"
Fum-1-197,197,Day_255,Non-fumigated chipping grass,"April 20th, 2017"
