"","names","degree_difference","betweeness_difference","score"
"Gaiellaceae","Gaiellaceae",148,16948.3963727476,17096.3963727476
"Diplorickettsiaceae","Diplorickettsiaceae",142,14277.8994791651,14419.8994791651
"Solirubrobacteraceae","Solirubrobacteraceae",156,12598.6358452256,12754.6358452256
"Hyphomicrobiaceae","Hyphomicrobiaceae",104,11148.7990178234,11252.7990178234
"Sporichthyaceae","Sporichthyaceae",40,6132.83271734139,6172.83271734139
"Nannocystaceae","Nannocystaceae",124,6028.31631458231,6152.31631458231
"Pasteuriaceae","Pasteuriaceae",22,5873.60668534198,5895.60668534198
"Acidithiobacillaceae","Acidithiobacillaceae",98,5664.65317835893,5762.65317835893
"Amb-16S-1323","Amb-16S-1323",48,5594.37663057603,5642.37663057603
"SC-I-84","SC-I-84",50,5498.7383345222,5548.7383345222
"Caulobacteraceae","Caulobacteraceae",52,5429.18948041059,5481.18948041059
"Brevibacteriaceae","Brevibacteriaceae",158,5049.67423930883,5207.67423930883
"Xanthomonadaceae","Xanthomonadaceae",46,4856.52548769085,4902.52548769085
"Fodinicurvataceae","Fodinicurvataceae",48,4632.33612998615,4680.33612998615
"Gemmataceae","Gemmataceae",162,3939.25609974141,4101.25609974141
"Flavobacteriaceae","Flavobacteriaceae",128,3413.86433836206,3541.86433836206
"Propionibacteriaceae","Propionibacteriaceae",130,3333.29633954377,3463.29633954377
"Caedibacteraceae","Caedibacteraceae",10,3439.43366915639,3449.43366915639
"P3OB-42","P3OB-42",132,3307.26408034899,3439.26408034899
"Limnochordaceae","Limnochordaceae",182,3098.46128829934,3280.46128829934
